Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UC Irvine,Y,Mechanical and Aerospace Engineering,Advising,,,,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Research,,,https://engineering.uci.edu/dept/mae/research,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Undergraduate Research,,,,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,DEI/JEDI,,,,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Chair’s Message,,,https://engineering.uci.edu/dept/mae/message-chair,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,About,,,https://engineering.uci.edu/dept/mae/about,3/4/2025,Nate,2:06,,
UC Irvine,Y,Mechanical and Aerospace Engineering,Courses/Curriculum,,,,3/4/2025,Nate,2:06,,
,,,,,,,,,,,
,,,,,,,,,,,
UC Irvine,Y,Computer Science,Home/Landing,,,https://cs.ics.uci.edu/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Undergrad education,,,https://cs.ics.uci.edu/undergraduate-programs/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Prospective students,,,https://ics.uci.edu/admissions-information-and-computer-science/admissions-process/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Advising,,,https://ics.uci.edu/academics/undergrad/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Research,,,https://ics.uci.edu/computing-research/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Undergraduate Research,,,https://ics.uci.edu/student-experience/undergraduate-research/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,DEI/JEDI,,,,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Chair’s Message,,,,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,About,,,https://ics.uci.edu/facts-figures/ics-mission-history/,3/4/2025,Nate,3:58,,
UC Irvine,Y,Computer Science,Courses/Curriculum,,,,3/4/2025,Nate,3:58,,
,,,,,,,,,,,
UC Irvine,Y,Informatics,Home/Landing,,,https://www.informatics.uci.edu/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Undergrad education,,,https://www.informatics.uci.edu/undergrad/bs-informatics/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Prospective students,,,https://www.informatics.uci.edu/admissions/undergraduate-application-process/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Advising,,,,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Research,,,https://www.informatics.uci.edu/research/labs-centers/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Undergraduate Research,,,https://www.informatics.uci.edu/research/undergraduate-research/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,DEI/JEDI,,,,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Chair’s Message,,,https://www.informatics.uci.edu/explore/chairs-welcome/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,About,,,https://www.informatics.uci.edu/explore/department-vision/,3/4/2025,Nate,2:52,,
UC Irvine,Y,Informatics,Courses/Curriculum,,,https://www.informatics.uci.edu/undergrad/courses/,3/4/2025,Nate,2:52,,
,,,,,,,,,,,
UC Irvine,Y,Statistics,Home/Landing,,,https://www.stat.uci.edu/,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Undergrad education,,,https://www.stat.uci.edu/slider/b-s-in-data-science/,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Prospective students,,,,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Advising,,,,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Research,,,https://www.stat.uci.edu/research/,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Undergraduate Research,,,,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,DEI/JEDI,,,,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Chair’s Message,,,https://www.stat.uci.edu/chairs-message/,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,About,,,,3/4/2025,Nate,2:09,,
UC Irvine,Y,Statistics,Courses/Curriculum,,,,3/4/2025,Nate,2:09,,
,,,,,,,,,,,
UC Irvine,Y,Chemistry,Home/Landing,,,https://www.chem.uci.edu/,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Undergrad education,,,https://www.chem.uci.edu/StudentAffairs,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Prospective students,,,https://www.chem.uci.edu/undergrad,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Advising,,,,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Research,,,https://www.chem.uci.edu/research/areasoff,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Undergraduate Research,,Y,https://sites.uci.edu/chemsurf/,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,DEI/JEDI,,,,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Chair’s Message,,,,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,About,,,https://www.chem.uci.edu/welcome,3/10/2025,Nate,2:42,,
UC Irvine,Y,Chemistry,Courses/Curriculum,,,https://www.chem.uci.edu/Course-Offerings,3/10/2025,Nate,2:42,,
,,,,,,,,,,,
UC Irvine,Y,Earth System Science,Home/Landing,,,https://www.ess.uci.edu/,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Undergrad education,,,https://www.ess.uci.edu/academics,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Prospective students,,,https://www.ess.uci.edu/bachelor-science-earth-system-science,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Advising,,,,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Research,,,https://www.ess.uci.edu/research-themes,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Undergraduate Research,,,https://www.ess.uci.edu/form/ugrad-res-app,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,DEI/JEDI,,,,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Chair’s Message,,,,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,About,,,https://www.ess.uci.edu/about-ess,3/10/2025,Nate,2:19,,
UC Irvine,Y,Earth System Science,Courses/Curriculum,,,https://www.ess.uci.edu/undergrad/coursesoffered,3/10/2025,Nate,2:19,,
,,,,,,,,,,,
UC Irvine,Y,Mathematics,Home/Landing,,,https://www.math.uci.edu/,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,Undergrad education,,,https://www.math.uci.edu/undergraduate,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,Prospective students,,,https://www.math.uci.edu/~prerequisite-videos/,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,Advising,,,https://www.math.uci.edu/undergraduate/calc_precalc_enrollment,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,Research,,,https://www.math.uci.edu/research,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,Undergraduate Research,,,https://www.math.uci.edu/math-majors/math-undergraduate-research-resources,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,DEI/JEDI,,,https://www.math.uci.edu/diversity,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,Chair’s Message,,,https://www.math.uci.edu/about-us/word-chair,3/10/2025,Nate,2:43,,
UC Irvine,Y,Mathematics,About,,,https://www.math.uci.edu/about,3/10/2025,Nate,2:43,,
