Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Prospective students,,,https://ce.berkeley.edu/undergrad/prospective-students,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Advising,,,https://ce.berkeley.edu/undergrad/advising,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Research,,,,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Undergraduate Research,,,,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,DEI/JEDI,,,https://ce.berkeley.edu/undergrad/diversity,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Chair’s Message,,,,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,About,,,https://ce.berkeley.edu/about/overview,1/14,Keya,1:58,,,,,
UC Berkeley,Y,Civil and Environmental Engineering,Courses/Curriculum,,,https://ce.berkeley.edu/undergrad/curriculum,1/14,Keya,1:58,,,,,
UC Berkeley,,,,,,,1/14,Keya,,,,,,
UC Berkeley,Y,Electrical Engineering and Computer Sciences,Home/Landing,,,https://eecs.berkeley.edu/,1/14,Keya,2:40,,,,,
UC Berkeley,Y,Electrical Engineering and Computer Sciences,Undergrad education,,,https://eecs.berkeley.edu/academics/undergraduate/,1/14,Keya,2:40,,,,,
UC Berkeley,Y,Electrical Engineering and Computer Sciences,Prospective students,,,,1/14,Keya,2:40,,,,,
UC Berkeley,Y,Electrical Engineering and Computer Sciences,Advising,,,https://eecs.berkeley.edu/resources/undergrads/,1/14,Keya,2:40,,,,,
UC Berkeley,Y,Electrical Engineering and Computer Sciences,Research,,,https://eecs.berkeley.edu/research/,1/14,Keya,2:40,,,,,
UC Berkeley,Y,Electrical Engineering and Computer Sciences,Undergraduate Research,,,https://eecs.berkeley.edu/resources/undergrads/undergraduate-resesarch/,1/14,Keya,2:40,,,,,
